CourseCode,CourseTitle,Section,Instructor,Day,StartTime,EndTime,Classroom,Semester
PHYS1095,Discrete Mathematics,D,Victor Lam,Mon,14:30,16:00,F402,2026S
CHEM1096,Project Management,A,John Lee,Tue,16:00,17:30,A101,2025F
BIO1097,Information Systems,B,Alice Chan,Wed,18:00,20:00,A108,2025S
ECON1098,Cybersecurity Fundamentals,C,Mary Wong,Thu,08:30,10:00,A202,2026F
ART1099,Machine Learning,D,David Smith,Fri,10:00,11:30,B201,2026S
COMP1100,Data Communications,A,Kevin Brown,Mon,11:30,13:00,B202,2025F
MATH1101,Operating Systems,B,Lisa Chen,Tue,13:00,14:30,B301,2025S
STAT1102,Database Systems,C,Peter Ho,Wed,14:30,16:00,C105,2026F
BUS1103,Software Engineering,D,Grace Lam,Thu,16:00,17:30,C301,2026S
ENG1104,Computer Networks,A,Helen Zhao,Fri,18:00,20:00,D210,2025F
PHYS1105,Calculus,B,Michael Tan,Mon,08:30,10:00,D305,2025S
CHEM1106,Probability and Statistics,C,Sarah Liu,Tue,10:00,11:30,E110,2026F
BIO1107,Business Analytics,D,Daniel Wu,Wed,11:30,13:00,F402,2026S
ECON1108,Academic Writing,A,Emma Chen,Thu,13:00,14:30,A101,2025F
ART1109,Digital Design,B,Robert Young,Fri,14:30,16:00,A108,2025S
COMP1110,Cloud Computing,C,Anna Wang,Mon,16:00,17:30,A202,2026F
MATH1111,Network Security,D,Victor Lam,Tue,18:00,20:00,B201,2026S
STAT1112,Artificial Intelligence,A,John Lee,Wed,08:30,10:00,B202,2025F
BUS1113,Web Development,B,Alice Chan,Thu,10:00,11:30,B301,2025S
ENG1114,Linear Algebra,C,Mary Wong,Fri,11:30,13:00,C105,2026F
PHYS1115,Discrete Mathematics,D,David Smith,Mon,13:00,14:30,C301,2026S
CHEM1116,Project Management,A,Kevin Brown,Tue,14:30,16:00,D210,2025F
BIO1117,Information Systems,B,Lisa Chen,Wed,16:00,17:30,D305,2025S
ECON1118,Cybersecurity Fundamentals,C,Peter Ho,Thu,18:00,20:00,E110,2026F
ART1119,Machine Learning,D,Grace Lam,Fri,08:30,10:00,F402,2026S
COMP1120,Data Communications,A,Helen Zhao,Mon,10:00,11:30,A101,2025F
MATH1121,Operating Systems,B,Michael Tan,Tue,11:30,13:00,A108,2025S
STAT1122,Database Systems,C,Sarah Liu,Wed,13:00,14:30,A202,2026F
BUS1123,Software Engineering,D,Daniel Wu,Thu,14:30,16:00,B201,2026S
ENG1124,Computer Networks,A,Emma Chen,Fri,16:00,17:30,B202,2025F
PHYS1125,Calculus,B,Robert Young,Mon,18:00,20:00,B301,2025S
CHEM1126,Probability and Statistics,C,Anna Wang,Tue,08:30,10:00,C105,2026F
BIO1127,Business Analytics,D,Victor Lam,Wed,10:00,11:30,C301,2026S
ECON1128,Academic Writing,A,John Lee,Thu,11:30,13:00,D210,2025F
ART1129,Digital Design,B,Alice Chan,Fri,13:00,14:30,D305,2025S
COMP1130,Cloud Computing,C,Mary Wong,Mon,14:30,16:00,E110,2026F
MATH1131,Network Security,D,David Smith,Tue,16:00,17:30,F402,2026S
STAT1132,Artificial Intelligence,A,Kevin Brown,Wed,18:00,20:00,A101,2025F
BUS1133,Web Development,B,Lisa Chen,Thu,08:30,10:00,A108,2025S
ENG1134,Linear Algebra,C,Peter Ho,Fri,10:00,11:30,A202,2026F
PHYS1135,Discrete Mathematics,D,Grace Lam,Mon,11:30,13:00,B201,2026S
CHEM1136,Project Management,A,Helen Zhao,Tue,13:00,14:30,B202,2025F
BIO1137,Information Systems,B,Michael Tan,Wed,14:30,16:00,B301,2025S
ECON1138,Cybersecurity Fundamentals,C,Sarah Liu,Thu,16:00,17:30,C105,2026F
ART1139,Machine Learning,D,Daniel Wu,Fri,18:00,20:00,C301,2026S
COMP1140,Data Communications,A,Emma Chen,Mon,08:30,10:00,D210,2025F
MATH1141,Operating Systems,B,Robert Young,Tue,10:00,11:30,D305,2025S
STAT1142,Database Systems,C,Anna Wang,Wed,11:30,13:00,E110,2026F
BUS1143,Software Engineering,D,Victor Lam,Thu,13:00,14:30,F402,2026S
ENG1144,Computer Networks,A,John Lee,Fri,14:30,16:00,A101,2025F
PHYS1145,Calculus,B,Alice Chan,Mon,16:00,17:30,A108,2025S
CHEM1146,Probability and Statistics,C,Mary Wong,Tue,18:00,20:00,A202,2026F
BIO1147,Business Analytics,D,David Smith,Wed,08:30,10:00,B201,2026S
ECON1148,Academic Writing,A,Kevin Brown,Thu,10:00,11:30,B202,2025F
ART1149,Digital Design,B,Lisa Chen,Fri,11:30,13:00,B301,2025S
COMP1150,Cloud Computing,C,Peter Ho,Mon,13:00,14:30,C105,2026F
MATH1151,Network Security,D,Grace Lam,Tue,14:30,16:00,C301,2026S
STAT1152,Artificial Intelligence,A,Helen Zhao,Wed,16:00,17:30,D210,2025F
BUS1153,Web Development,B,Michael Tan,Thu,18:00,20:00,D305,2025S
ENG1154,Linear Algebra,C,Sarah Liu,Fri,08:30,10:00,E110,2026F
PHYS1155,Discrete Mathematics,D,Daniel Wu,Mon,10:00,11:30,F402,2026S
CHEM1156,Project Management,A,Emma Chen,Tue,11:30,13:00,A101,2025F
BIO1157,Information Systems,B,Robert Young,Wed,13:00,14:30,A108,2025S
ECON1158,Cybersecurity Fundamentals,C,Anna Wang,Thu,14:30,16:00,A202,2026F
ART1159,Machine Learning,D,Victor Lam,Fri,16:00,17:30,B201,2026S
COMP1160,Data Communications,A,John Lee,Mon,18:00,20:00,B202,2025F
MATH1161,Operating Systems,B,Alice Chan,Tue,08:30,10:00,B301,2025S
STAT1162,Database Systems,C,Mary Wong,Wed,10:00,11:30,C105,2026F
BUS1163,Software Engineering,D,David Smith,Thu,11:30,13:00,C301,2026S
ENG1164,Computer Networks,A,Kevin Brown,Fri,13:00,14:30,D210,2025F
PHYS1165,Calculus,B,Lisa Chen,Mon,14:30,16:00,D305,2025S
CHEM1166,Probability and Statistics,C,Peter Ho,Tue,16:00,17:30,E110,2026F
BIO1167,Business Analytics,D,Grace Lam,Wed,18:00,20:00,F402,2026S
ECON1168,Academic Writing,A,Helen Zhao,Thu,08:30,10:00,A101,2025F
ART1169,Digital Design,B,Michael Tan,Fri,10:00,11:30,A108,2025S
COMP1170,Cloud Computing,C,Sarah Liu,Mon,11:30,13:00,A202,2026F
MATH1171,Network Security,D,Daniel Wu,Tue,13:00,14:30,B201,2026S
STAT1172,Artificial Intelligence,A,Emma Chen,Wed,14:30,16:00,B202,2025F
BUS1173,Web Development,B,Robert Young,Thu,16:00,17:30,B301,2025S
ENG1174,Linear Algebra,C,Anna Wang,Fri,18:00,20:00,C105,2026F
PHYS1175,Discrete Mathematics,D,Victor Lam,Mon,08:30,10:00,C301,2026S
CHEM1176,Project Management,A,John Lee,Tue,10:00,11:30,D210,2025F
BIO1177,Information Systems,B,Alice Chan,Wed,11:30,13:00,D305,2025S
ECON1178,Cybersecurity Fundamentals,C,Mary Wong,Thu,13:00,14:30,E110,2026F
ART1179,Machine Learning,D,David Smith,Fri,14:30,16:00,F402,2026S
COMP1180,Data Communications,A,Kevin Brown,Mon,16:00,17:30,A101,2025F
MATH1181,Operating Systems,B,Lisa Chen,Tue,18:00,20:00,A108,2025S
STAT1182,Database Systems,C,Peter Ho,Wed,08:30,10:00,A202,2026F
BUS1183,Software Engineering,D,Grace Lam,Thu,10:00,11:30,B201,2026S
ENG1184,Computer Networks,A,Helen Zhao,Fri,11:30,13:00,B202,2025F
PHYS1185,Calculus,B,Michael Tan,Mon,13:00,14:30,B301,2025S
CHEM1186,Probability and Statistics,C,Sarah Liu,Tue,14:30,16:00,C105,2026F
BIO1187,Business Analytics,D,Daniel Wu,Wed,16:00,17:30,C301,2026S
ECON1188,Academic Writing,A,Emma Chen,Thu,18:00,20:00,D210,2025F
ART1189,Digital Design,B,Robert Young,Fri,08:30,10:00,D305,2025S
COMP1190,Cloud Computing,C,Anna Wang,Mon,10:00,11:30,E110,2026F
MATH1191,Network Security,D,Victor Lam,Tue,11:30,13:00,F402,2026S
STAT1192,Artificial Intelligence,A,John Lee,Wed,13:00,14:30,A101,2025F
BUS1193,Web Development,B,Alice Chan,Thu,14:30,16:00,A108,2025S
ENG1194,Linear Algebra,C,Mary Wong,Fri,16:00,17:30,A202,2026F
PHYS1195,Discrete Mathematics,D,David Smith,Mon,18:00,20:00,B201,2026S
CHEM1196,Project Management,A,Kevin Brown,Tue,08:30,10:00,B202,2025F
BIO1197,Information Systems,B,Lisa Chen,Wed,10:00,11:30,B301,2025S
ECON1198,Cybersecurity Fundamentals,C,Peter Ho,Thu,11:30,13:00,C105,2026F
ART1199,Machine Learning,D,Grace Lam,Fri,13:00,14:30,C301,2026S
COMP1200,Data Communications,A,Helen Zhao,Mon,14:30,16:00,D210,2025F
MATH1201,Operating Systems,B,Michael Tan,Tue,16:00,17:30,D305,2025S
STAT1202,Database Systems,C,Sarah Liu,Wed,18:00,20:00,E110,2026F
BUS1203,Software Engineering,D,Daniel Wu,Thu,08:30,10:00,F402,2026S
ENG1204,Computer Networks,A,Emma Chen,Fri,10:00,11:30,A101,2025F
PHYS1205,Calculus,B,Robert Young,Mon,11:30,13:00,A108,2025S
CHEM1206,Probability and Statistics,C,Anna Wang,Tue,13:00,14:30,A202,2026F
BIO1207,Business Analytics,D,Victor Lam,Wed,14:30,16:00,B201,2026S
ECON1208,Academic Writing,A,John Lee,Thu,16:00,17:30,B202,2025F
ART1209,Digital Design,B,Alice Chan,Fri,18:00,20:00,B301,2025S
COMP1210,Cloud Computing,C,Mary Wong,Mon,08:30,10:00,C105,2026F
MATH1211,Network Security,D,David Smith,Tue,10:00,11:30,C301,2026S
STAT1212,Artificial Intelligence,A,Kevin Brown,Wed,11:30,13:00,D210,2025F
BUS1213,Web Development,B,Lisa Chen,Thu,13:00,14:30,D305,2025S
ENG1214,Linear Algebra,C,Peter Ho,Fri,14:30,16:00,E110,2026F
PHYS1215,Discrete Mathematics,D,Grace Lam,Mon,16:00,17:30,F402,2026S
CHEM1216,Project Management,A,Helen Zhao,Tue,18:00,20:00,A101,2025F
BIO1217,Information Systems,B,Michael Tan,Wed,08:30,10:00,A108,2025S
ECON1218,Cybersecurity Fundamentals,C,Sarah Liu,Thu,10:00,11:30,A202,2026F
ART1219,Machine Learning,D,Daniel Wu,Fri,11:30,13:00,B201,2026S
COMP1220,Data Communications,A,Emma Chen,Mon,13:00,14:30,B202,2025F
MATH1221,Operating Systems,B,Robert Young,Tue,14:30,16:00,B301,2025S
STAT1222,Database Systems,C,Anna Wang,Wed,16:00,17:30,C105,2026F
BUS1223,Software Engineering,D,Victor Lam,Thu,18:00,20:00,C301,2026S
ENG1224,Computer Networks,A,John Lee,Fri,08:30,10:00,D210,2025F
PHYS1225,Calculus,B,Alice Chan,Mon,10:00,11:30,D305,2025S
CHEM1226,Probability and Statistics,C,Mary Wong,Tue,11:30,13:00,E110,2026F
BIO1227,Business Analytics,D,David Smith,Wed,13:00,14:30,F402,2026S
ECON1228,Academic Writing,A,Kevin Brown,Thu,14:30,16:00,A101,2025F
ART1229,Digital Design,B,Lisa Chen,Fri,16:00,17:30,A108,2025S
COMP1230,Cloud Computing,C,Peter Ho,Mon,18:00,20:00,A202,2026F
MATH1231,Network Security,D,Grace Lam,Tue,08:30,10:00,B201,2026S
STAT1232,Artificial Intelligence,A,Helen Zhao,Wed,10:00,11:30,B202,2025F
BUS1233,Web Development,B,Michael Tan,Thu,11:30,13:00,B301,2025S
ENG1234,Linear Algebra,C,Sarah Liu,Fri,13:00,14:30,C105,2026F
PHYS1235,Discrete Mathematics,D,Daniel Wu,Mon,14:30,16:00,C301,2026S
CHEM1236,Project Management,A,Emma Chen,Tue,16:00,17:30,D210,2025F
BIO1237,Information Systems,B,Robert Young,Wed,18:00,20:00,D305,2025S
ECON1238,Cybersecurity Fundamentals,C,Anna Wang,Thu,08:30,10:00,E110,2026F
ART1239,Machine Learning,D,Victor Lam,Fri,10:00,11:30,F402,2026S
COMP1240,Data Communications,A,John Lee,Mon,11:30,13:00,A101,2025F
MATH1241,Operating Systems,B,Alice Chan,Tue,13:00,14:30,A108,2025S
STAT1242,Database Systems,C,Mary Wong,Wed,14:30,16:00,A202,2026F
BUS1243,Software Engineering,D,David Smith,Thu,16:00,17:30,B201,2026S
ENG1244,Computer Networks,A,Kevin Brown,Fri,18:00,20:00,B202,2025F
PHYS1245,Calculus,B,Lisa Chen,Mon,08:30,10:00,B301,2025S
CHEM1246,Probability and Statistics,C,Peter Ho,Tue,10:00,11:30,C105,2026F
BIO1247,Business Analytics,D,Grace Lam,Wed,11:30,13:00,C301,2026S
ECON1248,Academic Writing,A,Helen Zhao,Thu,13:00,14:30,D210,2025F
ART1249,Digital Design,B,Michael Tan,Fri,14:30,16:00,D305,2025S
COMP1250,Cloud Computing,C,Sarah Liu,Mon,16:00,17:30,E110,2026F
MATH1251,Network Security,D,Daniel Wu,Tue,18:00,20:00,F402,2026S
STAT1252,Artificial Intelligence,A,Emma Chen,Wed,08:30,10:00,A101,2025F
BUS1253,Web Development,B,Robert Young,Thu,10:00,11:30,A108,2025S
ENG1254,Linear Algebra,C,Anna Wang,Fri,11:30,13:00,A202,2026F
PHYS1255,Discrete Mathematics,D,Victor Lam,Mon,13:00,14:30,B201,2026S
CHEM1256,Project Management,A,John Lee,Tue,14:30,16:00,B202,2025F
BIO1257,Information Systems,B,Alice Chan,Wed,16:00,17:30,B301,2025S
ECON1258,Cybersecurity Fundamentals,C,Mary Wong,Thu,18:00,20:00,C105,2026F
ART1259,Machine Learning,D,David Smith,Fri,08:30,10:00,C301,2026S
COMP1260,Data Communications,A,Kevin Brown,Mon,10:00,11:30,D210,2025F
MATH1261,Operating Systems,B,Lisa Chen,Tue,11:30,13:00,D305,2025S
STAT1262,Database Systems,C,Peter Ho,Wed,13:00,14:30,E110,2026F
BUS1263,Software Engineering,D,Grace Lam,Thu,14:30,16:00,F402,2026S
ENG1264,Computer Networks,A,Helen Zhao,Fri,16:00,17:30,A101,2025F
PHYS1265,Calculus,B,Michael Tan,Mon,18:00,20:00,A108,2025S
CHEM1266,Probability and Statistics,C,Sarah Liu,Tue,08:30,10:00,A202,2026F
BIO1267,Business Analytics,D,Daniel Wu,Wed,10:00,11:30,B201,2026S
ECON1268,Academic Writing,A,Emma Chen,Thu,11:30,13:00,B202,2025F
ART1269,Digital Design,B,Robert Young,Fri,13:00,14:30,B301,2025S
COMP1270,Cloud Computing,C,Anna Wang,Mon,14:30,16:00,C105,2026F
MATH1271,Network Security,D,Victor Lam,Tue,16:00,17:30,C301,2026S
STAT1272,Artificial Intelligence,A,John Lee,Wed,18:00,20:00,D210,2025F
BUS1273,Web Development,B,Alice Chan,Thu,08:30,10:00,D305,2025S
ENG1274,Linear Algebra,C,Mary Wong,Fri,10:00,11:30,E110,2026F
PHYS1275,Discrete Mathematics,D,David Smith,Mon,11:30,13:00,F402,2026S
CHEM1276,Project Management,A,Kevin Brown,Tue,13:00,14:30,A101,2025F
BIO1277,Information Systems,B,Lisa Chen,Wed,14:30,16:00,A108,2025S
ECON1278,Cybersecurity Fundamentals,C,Peter Ho,Thu,16:00,17:30,A202,2026F
ART1279,Machine Learning,D,Grace Lam,Fri,18:00,20:00,B201,2026S
COMP1280,Data Communications,A,Helen Zhao,Mon,08:30,10:00,B202,2025F
MATH1281,Operating Systems,B,Michael Tan,Tue,10:00,11:30,B301,2025S
STAT1282,Database Systems,C,Sarah Liu,Wed,11:30,13:00,C105,2026F
BUS1283,Software Engineering,D,Daniel Wu,Thu,13:00,14:30,C301,2026S
ENG1284,Computer Networks,A,Emma Chen,Fri,14:30,16:00,D210,2025F
PHYS1285,Calculus,B,Robert Young,Mon,16:00,17:30,D305,2025S
CHEM1286,Probability and Statistics,C,Anna Wang,Tue,18:00,20:00,E110,2026F
BIO1287,Business Analytics,D,Victor Lam,Wed,08:30,10:00,F402,2026S
ECON1288,Academic Writing,A,John Lee,Thu,10:00,11:30,A101,2025F
ART1289,Digital Design,B,Alice Chan,Fri,11:30,13:00,A108,2025S
COMP1290,Cloud Computing,C,Mary Wong,Mon,13:00,14:30,A202,2026F
MATH1291,Network Security,D,David Smith,Tue,14:30,16:00,B201,2026S
STAT1292,Artificial Intelligence,A,Kevin Brown,Wed,16:00,17:30,B202,2025F
BUS1293,Web Development,B,Lisa Chen,Thu,18:00,20:00,B301,2025S
ENG1294,Linear Algebra,C,Peter Ho,Fri,08:30,10:00,C105,2026F
PHYS1295,Discrete Mathematics,D,Grace Lam,Mon,10:00,11:30,C301,2026S
CHEM1296,Project Management,A,Helen Zhao,Tue,11:30,13:00,D210,2025F
BIO1297,Information Systems,B,Michael Tan,Wed,13:00,14:30,D305,2025S
ECON1298,Cybersecurity Fundamentals,C,Sarah Liu,Thu,14:30,16:00,E110,2026F
ART1299,Machine Learning,D,Daniel Wu,Fri,16:00,17:30,F402,2026S
COMP1300,Data Communications,A,Emma Chen,Mon,18:00,20:00,A101,2025F
MATH1301,Operating Systems,B,Robert Young,Tue,08:30,10:00,A108,2025S
STAT1302,Database Systems,C,Anna Wang,Wed,10:00,11:30,A202,2026F
BUS1303,Software Engineering,D,Victor Lam,Thu,11:30,13:00,B201,2026S
ENG1304,Computer Networks,A,John Lee,Fri,13:00,14:30,B202,2025F
PHYS1305,Calculus,B,Alice Chan,Mon,14:30,16:00,B301,2025S
CHEM1306,Probability and Statistics,C,Mary Wong,Tue,16:00,17:30,C105,2026F
BIO1307,Business Analytics,D,David Smith,Wed,18:00,20:00,C301,2026S
ECON1308,Academic Writing,A,Kevin Brown,Thu,08:30,10:00,D210,2025F
ART1309,Digital Design,B,Lisa Chen,Fri,10:00,11:30,D305,2025S
COMP1310,Cloud Computing,C,Peter Ho,Mon,11:30,13:00,E110,2026F
MATH1311,Network Security,D,Grace Lam,Tue,13:00,14:30,F402,2026S
STAT1312,Artificial Intelligence,A,Helen Zhao,Wed,14:30,16:00,A101,2025F
BUS1313,Web Development,B,Michael Tan,Thu,16:00,17:30,A108,2025S
ENG1314,Linear Algebra,C,Sarah Liu,Fri,18:00,20:00,A202,2026F
PHYS1315,Discrete Mathematics,D,Daniel Wu,Mon,08:30,10:00,B201,2026S
CHEM1316,Project Management,A,Emma Chen,Tue,10:00,11:30,B202,2025F
BIO1317,Information Systems,B,Robert Young,Wed,11:30,13:00,B301,2025S
ECON1318,Cybersecurity Fundamentals,C,Anna Wang,Thu,13:00,14:30,C105,2026F
ART1319,Machine Learning,D,Victor Lam,Fri,14:30,16:00,C301,2026S
COMP1320,Data Communications,A,John Lee,Mon,16:00,17:30,D210,2025F
MATH1321,Operating Systems,B,Alice Chan,Tue,18:00,20:00,D305,2025S
STAT1322,Database Systems,C,Mary Wong,Wed,08:30,10:00,E110,2026F
BUS1323,Software Engineering,D,David Smith,Thu,10:00,11:30,F402,2026S
ENG1324,Computer Networks,A,Kevin Brown,Fri,11:30,13:00,A101,2025F
PHYS1325,Calculus,B,Lisa Chen,Mon,13:00,14:30,A108,2025S
CHEM1326,Probability and Statistics,C,Peter Ho,Tue,14:30,16:00,A202,2026F
BIO1327,Business Analytics,D,Grace Lam,Wed,16:00,17:30,B201,2026S
ECON1328,Academic Writing,A,Helen Zhao,Thu,18:00,20:00,B202,2025F
ART1329,Digital Design,B,Michael Tan,Fri,08:30,10:00,B301,2025S
COMP1330,Cloud Computing,C,Sarah Liu,Mon,10:00,11:30,C105,2026F
MATH1331,Network Security,D,Daniel Wu,Tue,11:30,13:00,C301,2026S
STAT1332,Artificial Intelligence,A,Emma Chen,Wed,13:00,14:30,D210,2025F
BUS1333,Web Development,B,Robert Young,Thu,14:30,16:00,D305,2025S
ENG1334,Linear Algebra,C,Anna Wang,Fri,16:00,17:30,E110,2026F
PHYS1335,Discrete Mathematics,D,Victor Lam,Mon,18:00,20:00,F402,2026S
